PRODUTO;INGREDIENTE_ATIVO;TIPO;CLASSE_TOXICOLOGICA;TARJA;CLASSE_AMBIENTAL;CONCENTRACAO_IA;ALVO;DOSE_TEXTO;UNIDADE_MEDIDA;CRITERIO_DOSAGEM;VOLUME_MAX_CALDA;NUM_APLICACOES;INTERVALO_DIAS;CARENCIA_DIAS;REENTRADA_DIAS;MRL_EU;MRL_GB;MRL_BRASIL;CONDICAO_TESCO;MEDIDA_TESCO;CULTURA
SERENADE;BACILLUS SUBTILIS;FUNGICIDA/BACTERIDA;NC;VERDE;IV;1017,87g/ha;- Oídio - Mancha de alternária;2 - 4 L /há - Oidio 1 - 2- L\ha - Mancha;LT;H;300 - 1000 L;ND;7;NA;1;NA;NA;sem restrição;NA;NA;MELÃO
SIVANTO PRIME 200 SL;FLUPYRADIFURONE;INSETICIDA;IV;AZUL;III;200 g/L;- Mosca Branca - Pulgão;- 1,5 a 2,0 L/ha (solo) - 0,75 a 1,0 L/ha (foliar);LT;H;"- 15 mL/ planta
200 - 500 L/ha";"1 (solo)
3 (foliar)";5;14;1;0,15;0,15;0,4;Monitorado;NA;MELÃO
SUPERA;HIDRÓXIDO DE COBRE;FUNGICIDA;V;AZUL;III;537,44 g//L;- Antracnose - Mancha aquosa;1,5-3,0 L/ha;LT;H;1000 L;4;07/out;ND;24h;5;5;NA;Monitorado;NA;MELÃO
TAFFETA SP;ACETAMIPRIDO;INSETICIDA;III;AMARELO;II;200 g/kg;- Mosca Branca - Pulgão;250-300 g/ha;KG;H;1000 L;3;7;14;1;0.2;0.2;0,2;NA;NA;MELÃO
TAURA 200 EC;PIRIPROXIFEM;INSETICIDA;V;AZUL;II;200 g/L;- Mosca branca;37,5 - 50 mL/100 L de água;LT;L;1000 L/ha;2;7;14;1;0,02;0,05;0,1;NA;NA;MELÃO
TENAZ 250 SC;FLUTRIAFOL;FUNGICIDA;V;AZUL;III;250 g / L;Oídio (Sphaerotheca fuliginea);40 - 80 mL/100L;LT;L;1000 L;3;7;10;1;0,3;0,3;0,5;NA;NA;MELÃO
TIGER 100 EC;"PIRIPROXIFEM
XILENO";INSETICIDA;V;AZUL;II;"100 g / L
800 g\L";- Mosca Branca;75 - 100 ml / 100 L;LT;L;1000 L/ha;2;7;14;1,00;0.05;0,02;0,1;NA;NA;MELÃO
TIMOREX GOLD;EXTRATO DE MELALEUCA ALTERNIFOLIA;FUNGICIDA/ BACTERIDA;IV;AZUL;IV;222,5 g/L;- Oídio;150 mL / 100L;LT;L;1000 L/ha;NA;7;NA;NA;NA;NA;NA;NA;NA;MELÃO
TRACER;ESPINOSADE;INSETICIDA;NC;VERDE;III;480 g \ L;- Mosca Minadora;150 - 200 ml\ha;LT;H;500 L;3;ND;7;1;1;1;0,03;Monitorado;NA;MELÃO
TRIGARD 750 WP;CIROMAZINA;INSETICIDA;IV;AZUL;III;750 g/kg;- Mosca Minadora;120 g \ha;KG;H;100 a 800 L;ND;7;21;1,00;0,01;0,4;0,2;NA;NA;MELÃO
TRIGGER 240 SC;CLORFENAPIR;INSETICIDA;NC;VERDE;II;240 g/L;- Tripes;50 - 100 mL/100L de água;LT;L;1000 L/ha;3;ND;14;1;0,01;0,1;0,05;Monitorado;NA;MELÃO
TRIVOR;ACETAMIPRIDO + PIRIPROXIFEM;INSETICIDA;IV;AZUL;I;186 g/L + 124 g/L;- Mosca Branca - Pulgão;200 - 300 ml /ha;LT;H;400 - 600 L/ha;3;"7 - Mosca
Branca
10 -
Pulgão";14;1;0,2 + 0,02;0,2 + 0,05;"0,2 (acet)
0,1 (piri)";NA;NA;MELÃO
UNIX 750 WG;CYPRODINIL;FUNGICIDA;V;AZUL;II;750g\kg;- Oidio;250-750 g\ha;KG;H;400 - 500 L/ha;3;7;7;1;0.6000;0.6000;;;;MELÃO
VERANGO PRIME;FLUOPIRAM;NEMATICIDA;V;AZUL;III;500 g/L;-Nematoide-das-galhas (Me;0,75 a 1,0 L/ha;LT;H;200 - 1000 L/ha;1;NA;ND;1;0,4;0,4;0,3;NA;NA;MELÃO
VERTIMEC 18 CE;ABAMECTINA;ACAR/INSET/ NEMAT;IV;AZUL;II;18 g/l;- Mosca Minadora - Ácaro-rajado;50-100 ml \ 100 L;LT;L;"500 a 800 L -
Mosca Branca
500 L - Acaro";4;7;7;1;0.01;0,01;0,01;Restrito;Med - 01;MELÃO
VERTIMEC 84 SC;ABAMECTINA;ACAR/INSET/NEMAT;II;VERMELHO;III;84 g/L;- Mosca Minadora - Ácaro-rajado - Ácaro-branco;100 - 160 mL/há - Mosca Branca e Acaro Rajado 60-120 ml\ha - Acaro Branco;LT;H;500 - 600L;4;7;7;1;0,01;0,01;0,01;Restrito;Med - 01;MELÃO
VINQUO;AFIDOPIROPENO;INSETICIDA;III;AMARELO;III;100 g/L;- Pulgão - Mosca Branca;Pulgão: 100 mL/há Mosca branca: 350 - 500 mL/há;LT;H;400 L;4;7;14;1;0,01;0,05;0,01;NA;NA;MELÃO
WARRANT 700 WG;IMIDACLOPRIDO;INSETICIDA;IV;AZUL;III;700 g/kg;- Mosca Branca;300g/ha;KG;H;10 - 15 ml / planta;1;ND;40;1;0,15;0,2;0,2;Restrito;Med - 02;MELÃO
ZORVEC ENCANTIA;OXATIAPIPROLINA + FAMOXADONA;FUNGICIDA;V;AZUL;II;30 g/L + 300 g/L;- Míldio;400 mL/ha;LT;H;400 L/ha;3;10;7;1;"0.20 (oxa) + 0,01
(famoxa)";"0.01 (oxa) + 0,01
(famoxa)";"0,06 (Oxa) +
0,15 (famox)";NA / NA;NA / NA;MELÃO
ABAMEX;ABAMECTINA;INSETIC / ACARIC;IV;AZUL;III;18g/L;- Mosca Minadora;500-750 ml / há;LT;H;1000 L;2;14;7;1;0,01;0,01;0,005;Restrito;Med - 01;MELÃO
ACEMIP;ACETAMIPRIDO;INSETICIDA;V;AZUL;II;200 g/kg;- Mosca Branca - Pulgão;250 - 300 g/ha;KG;H;1000 L/ha;3;7;14;1;0.2;0.2;0,2;NA;NA;MELÃO
ACETAMIPRID NORTOX 200 SP;ACETAMIPRIDO;INSETICIDA;IV;AZUL;II;200 g/Kg;- Mosca Branca - Pulgão;250-300 g/ha;KG;H;1000 L;3;7;14;1;0.2;0.2;0,2;NA;NA;MELÃO
ALTO 100;CIPROCONAZOL;FUNGICIDA;V;AZUL;II;100 g/L;- Oídio;15 a 20 ml / 100 L;LT;L;200 L;4;15;3;1;0.05;0.05;0,01;Monitorado;NA;MELÃO
AMISTAR TOP;"AZOXISTROBINA +
DIFENOCONAZOL";FUNGICIDA;V;AZUL;II;"200 g\L
125 g\L";- Oídio - Míldio;300-400ml/ha;LT;H;400 a 600 L;6;7;10;1;"1,0 (az)
0,2 (Dif)";"1,0 (az)
0,2 (Dif)";7,0 + 0,05;na / na;NA;MELÃO
AMISTAR WG;AZOXISTROBINA;FUNGICIDA;IV;AZUL;II;500 g/Kg;- Oídio - Míldio;128 g/ha;KG;H;600-1000 L/ha;5;7;2;1;1;1;7;na;NA;MELÃO
ARCADIA;"CRESOXIM-METÍLICO +
TEBUCONAZOL";FUNGICIDA;V;AZUL;II;"100 g/L
125 g/L";- Crestamento-gomoso;80 - 100 ml / 100 L;LT;L;1000 L;3;15;14;1;0,5 + 0,2;0,5 + 0,2;0,1 + 0,1;Monitorado;NA;MELÃO
AZAMAX;AZADIRACTINA;INSETICIDA;V;AZUL;IV;12g/L;- Pulgão;200 a 300 ml/ 100 L;LT;L;200 a 1000 L/ha;2;10;ND;1;1;1;sem restrição;NA;NA;MELÃO
AZIMUT;"AZOXISTROBINA +
TEBUCONAZOL";FUNGICIDA;IV;AZUL;II;"120 g/L +
200g/L";- Crestamento-gomoso (Didymella bryoniae);750 mL/ha;LT;H;500-1000 L;4;7;14;1;1 + 0,2;1 + 0,2;7,0 + 0,1;Na / NA;Na / NA;MELÃO
BENEVIA;CIANTRANILIPROLE;INSETICIDA;NC;VERDE;III;100 g / L;- Mosca Branca - Mosca Minadora (Liriomyza sativae) - Broca dos Frutos;(1) Minadora e mosca branca - 250 - 500 ml /há (2) Broca dos Frutos - 250mL/há;LT;H;500 - 800 L;2;7;14;1;0,4;0,3;0,07;Monitorado;NA;MELÃO
BION 500 WG;ACIBENZOLAR - S- METÍLICO;FUNGICIDA;V;AZUL;III;500 g\ Kg;- Mancha aquosa;25 g /ha;KG;H;300 a 500 L;4;7;3;1;0,15;0,15;0,07;NA;NA;MELÃO
CARAMBA 90;METCONAZOL;FUNGICIDA;V;AZUL;II;90g/L;- Crestamento-gomoso;0,5 - 1,0 L /ha;LT;H;400 a 1000 L;3;7-15;14;1;0,05;0,05;0,1;NA;NA;MELÃO
CARNADINE;ACETAMIPRIDO;INSETICIDA;IV;AZUL;II;200 g/L;- Mosca Branca - Pulgão;250 a 300mL/ha;LT;H;400 a 1000 L;2;7;14;1;0,2;0,2;0,2;NA;NA;MELÃO
CENSOR;FENAMIDONA;FUNGICIDA;V;AZUL;II;500 g/L;- Míldio;0,3 L /ha;LT;H;300 - 1000 L;3;7;7;1;0,01;0,01;0,02;NA;NA;MELÃO
COLLIS;"CRESOXIM-METÍLICO +
BOSCALIDA";FUNGICIDA;NC;VERDE;II;"(100
+200) g/L";- Oídio;500 ml/ha;LT;H;400 a 1000 L;4;7-10;7;1;0.3 + 3;0.3 + 3;0,1 + 0,5;"Monitorado /
NA";NA;MELÃO
DELEGATE;ESPINETORAM;INSETICIDA;V;AZUL;II;"250 g /
Kg";- Mosca Minadora;120 - 160 g /ha;KG;H;500-1000 L;4;ND;7;1;0,03;0,05;0,02;Monitorado;NA;MELÃO
DIFCOR 250 EC;DIFENOCAZOL;FUNGICIDA;III;AMARELO;II;250 g/L;- Crestamento-gomoso;30 ml / 100 L;LT;L;200 a 400 L;4;14;10;1;0,2;0,2;0,05;NA;NA;MELÃO
DIPEL;BACILLUS THURINGIESIS;INSETICIDA BIOLOGICO;NC;VERDE;IV;33,6 g \ L;- Broca dos Frutos - Lagartas mede palmo;0,5 - 1,0 L /ha;LT;H;300 a 1000 L;ND;7;7;1;N/A;N/A;sem restrição;Monitorado;NA;MELÃO
DIPEL WP;BACILLUS THURINGIESIS;INSETICIDA BIOLOGICO;V;AZUL;IV;32 g/kg;- Broca dos Frutos - Lagartas mde palmo;100 g / 100 L - Broca 60-80g\100L - Lagarta;KG;L;150 - 400 L;ND;7;7;N/A;N/A;N/A;sem restrição;Monitorado;NA;MELÃO
ECO-SHOT;BACILLUS AMYLOLIQUEFACIENS;"FUNGICIDA
MICROBIOLÓGICO";V;AZUL;IV;"250 g /
Kg";- Oídio - Míldio;(1) Oídio - 1,0 - 3,0 Kg/ha (2) Míldio - 1,0 - 4,0 kg/ha;KG;H;"(1) 800 L
(2) 1000 L";"(1) 4
(2) 3";7;ND;1;sem restrição;sem restrição;sem restrição;NA;NA;MELÃO
EFFICON;DIMPROPYRIDAZ;INSETICIDA;NC;VERDE;II;120g\L;- Mosca Branca - Pulgão;(1) Mosca Branca - 600 - 1000 ml/ha (2) Pulgão - 300 ml/ha;KG;H;400 L;3;7;7;1;0.0100;0.0100;;;;MELÃO
ELESTAL NEO;ACETAMIPRID;INSETICIDA;IV;AZUL;II;250g\kg;- Mosca branca;(1) Mosca Branca - 100 - 200 g/ha (2) Acaro - 100 - 200 g/ha (1) Pulgão- 150 - 200 g/ha;KG;H;400 L;3;7;3;3;0.0800;0.2000;;;;MELÃO
EPINGLE 100 EW;PIRIPROXIFEM;INSETICIDA;V;AZUL;II;100g/L;- Mosca Branca;75 - 100mL/100L;LT;L;1000 L;2;14;14;1;0.05;0.05;0,05;NA;NA;MELÃO
EVIDENCE 700 WG;IMIDACLOPRIDO;INSETICIDA;IV;AZUL;III;700 g/kg;- Pulgão - Trips - Mosca Branca;(1) Pulgão - 200 g /ha (2) Trips - 200 g/ha (3) Mosca Branca - 300 g/ha;KG;H;"10 a 15 ml por
planta";1;ND;40;1;0,15;0,5;0,2;Restrito;Med - 02;MELÃO
FLUTRIAFOL NORTOX;FLUTRIAFOL;FUNGICIDA;IV;AZUL;II;500 g/L;- Oídio (Sphaerotheca fuliginea);20 - 40 mL/100L;LT;L;1000;3;7;10;1;0,3;0,3;0,5;NA;NA;MELÃO
GRADUATE A+;AZOXISTROBINA + FLUDIOXONIL;FUNGICIDA;IV;AZUL;II;"239 g/L +
239 g/L";Antracnose;0,25 a 0,5 L/100L (2,5 a 5 mL/Litro);LT;L;NA;1;NA;ND;NA;1 + 0,3;1 + 0,3;7,0 + 8;NA + NA;Não aplica;MELÃO
GRANARY;IMIDACLOPRIDO;INSETICIDA;III;AZUL;III;700 g/kg;- Mosca branca, - Pulgão - Trips;- 200 g\ha (drench) - Pulgão e Trips - 300g\ha (bandeja, gotejo) Mosca Branca;KG;H;NA;14;ND;40;1;0,15;0,5;0,2;Restrito;Med - 02;MELÃO
